Current,Voltage,Temperature,SOC,SOC_Estimate
0.0356519,3.87354,300,0.5,0.6
15.2387,4.07747,300,0.500154,0.6
14.9143,3.75394,300,0.500309,0.600774
15.1285,3.96907,300,0.500463,0.599082
15.0196,3.86099,300,0.500617,0.599054
14.9612,3.80339,300,0.500772,0.598227
14.908,3.75098,300,0.500926,0.596998
15.0138,3.85751,300,0.50108,0.595423
15.0577,3.90217,300,0.501235,0.594662
15.0252,3.8704,300,0.501389,0.594244
15.0511,3.897,300,0.501543,0.593617
15.0497,3.89623,300,0.501698,0.593197
14.9861,3.83336,300,0.501852,0.592788
15.1253,3.9732,300,0.502006,0.591965
14.9483,3.7968,300,0.50216,0.592115
14.7877,3.63683,300,0.502315,0.591083
14.8453,3.69504,300,0.502469,0.589023
15.1812,4.03151,300,0.502623,0.587412
14.957,3.80787,300,0.502778,0.588011
14.904,3.7554,300,0.502932,0.587178
14.9161,3.76807,300,0.503086,0.586041
14.9254,3.77781,300,0.503241,0.585019
14.9517,3.80467,300,0.503395,0.584089
14.9509,3.8043,300,0.503549,0.583351
14.9786,3.83255,300,0.503704,0.582635
15.1491,4.00351,300,0.503858,0.582108
15.0074,3.86223,300,0.504012,0.5826
15.1279,3.98323,300,0.504167,0.582263
15.077,3.93276,300,0.504321,0.582636
15.0336,3.88977,300,0.504475,0.582716
14.9414,3.79798,300,0.50463,0.582554
14.954,3.81106,300,0.504784,0.58188
14.9765,3.83392,300,0.504938,0.5813
14.874,3.73185,300,0.505093,0.580865
15.2146,4.07283,300,0.505247,0.579884
15.0988,3.95742,300,0.505401,0.580778
14.9322,3.79118,300,0.505556,0.581037
14.9023,3.76158,300,0.50571,0.580401
14.9848,3.84452,300,0.505864,0.579626
15.0754,3.93546,300,0.506019,0.57931
14.973,3.8334,300,0.506173,0.579478
14.8712,3.73195,300,0.506327,0.579116
14.9087,3.76976,300,0.506481,0.578242
14.9972,3.85855,300,0.506636,0.577586
15.1163,3.97794,300,0.50679,0.577395
14.9951,3.85704,300,0.506944,0.577809
15.0922,3.95452,300,0.507099,0.577614
14.9478,3.81035,300,0.507253,0.577908
14.9974,3.86025,300,0.507407,0.577487
15.0139,3.87711,300,0.507562,0.577321
14.8361,3.69956,300,0.507716,0.577243
14.7729,3.63665,300,0.50787,0.576307
15.04,3.904,300,0.508025,0.575094
14.9847,3.84898,300,0.508179,0.575183
15.1167,3.98126,300,0.508333,0.575011
14.9936,3.8584,300,0.508488,0.575466
14.9603,3.82543,300,0.508642,0.575338
14.9465,3.81187,300,0.508796,0.575059
15.0652,3.93079,300,0.508951,0.574725
15.0502,3.91603,300,0.509105,0.574947
15.086,3.95211,300,0.509259,0.575099
15.1958,4.06213,300,0.509414,0.575414
15.061,3.92758,300,0.509568,0.576229
14.8288,3.69569,300,0.509722,0.576417
15.0134,3.88045,300,0.509877,0.575543
15.15,4.01733,300,0.510031,0.575527
14.9003,3.76787,300,0.510185,0.576132
14.9976,3.86534,300,0.510339,0.575602
14.8502,3.71816,300,0.510494,0.575521
15.0375,3.90576,300,0.510648,0.574785
14.9518,3.82025,300,0.510802,0.574899
14.8443,3.71298,300,0.510957,0.574633
15.056,3.92487,300,0.511111,0.5739
15.213,4.08204,300,0.511265,0.57411
